Banana Split Bill of Materials,,,,,,
,Part Name,Source (linked),Quantity,Unit Price,Price,Notes
Manufactured Parts,,,,,,
,PCB,JLCPCB,5,$3.28,$16.40,Minimum 5 Produced
,Clear Case,JLC3DP,1,$30.64,$30.64,
Keycaps,Translucent Keycaps,JLC3DP,22,$0.30,$6.60,
,Translucent Yellow Keycaps,JLC3DP,10,$0.30,$3.00,
,Translucent Brown Keycaps,JLC3DP,8,$0.30,$2.40,
,,,,,,
Purchased Components,,,,,,
,Nice!Nano,Typeractive,2,$25.00,$50.00,
,Nice!View,Typeractive,2,$20.00,$40.00,
,18650 Battery Holder,AliExpress,2,$1.16,$2.32,
,18650 Battery (VAPCELL K25 18650),LIION Wholesale,2,$3.49,$6.98,
,Twilight Silent Kalih Choc V1 Switches,BeeKeeb,40,$1.05,$42.00,
,Choc V1 Hot Swap Sockets (100 pc),AliExpress,1,$7.40,$7.40,"Best price has 100 pc, only use 40. "
,Surface Mount Push Switch (SW_TACT_ALPS_SKQGABE010),Sparkfun,2,$1.05,$2.10,
,M3 Screw and Nut Set,AliExpress,1,$3.94,$3.94,
,Rubber Feet (4 pack),AliExpress,2,$0.91,$1.82,
,,,,,,
SUBTOTAL,,,,,$215.60,
Shipping Estimate,,,,,$20.00,
Projected 7% Tax,,,,,$16.49,
TOTAL,,,,,$252.09,
